datetime,open,high,low,close,volume,Timestamp
2021-02-06,1721.03,1748.11,1647.09,1679.34,2991060.685,1612569600000
2021-02-07,1679.38,1695.5,1490.48,1611.99,4063794.078,1612656000000
2021-02-08,1612.0,1782.5,1566.22,1755.61,3884050.435,1612742400000
2021-02-09,1755.6,1830.47,1713.2,1770.79,3388435.791,1612828800000
2021-02-10,1770.99,1848.0,1680.0,1743.31,3442140.65,1612915200000
2021-02-11,1743.3,1827.07,1704.21,1789.32,2256762.199,1613001600000
2021-02-12,1789.32,1872.86,1740.22,1843.08,2650816.264,1613088000000
2021-02-13,1843.08,1878.88,1764.79,1818.02,2381458.551,1613174400000
2021-02-14,1817.86,1857.67,1785.23,1803.59,1773668.237,1613260800000
2021-02-15,1804.0,1839.63,1652.0,1781.34,3238695.81,1613347200000
2021-02-16,1781.34,1831.58,1726.01,1784.31,2536777.874,1613433600000
2021-02-17,1784.31,1864.26,1735.66,1849.86,2340915.266,1613520000000
2021-02-18,1849.87,1955.0,1849.37,1941.26,2447343.966,1613606400000
2021-02-19,1941.12,1980.0,1894.0,1958.58,1943898.87,1613692800000
2021-02-20,1958.59,2048.0,1792.0,1914.58,3273599.601,1613779200000
2021-02-21,1914.51,1981.04,1885.0,1934.75,2039425.917,1613865600000
2021-02-22,1934.59,1938.5,1552.2,1778.3,4972903.814,1613952000000
2021-02-23,1778.22,1784.08,1348.17,1579.75,7089349.585,1614038400000
2021-02-24,1579.75,1714.04,1501.09,1623.98,3593348.017,1614124800000
2021-02-25,1623.94,1672.49,1458.0,1482.09,2955804.261,1614211200000
2021-02-26,1482.13,1563.66,1401.01,1445.28,3880051.012,1614297600000
2021-02-27,1445.36,1530.19,1425.5,1458.65,2530875.338,1614384000000
2021-02-28,1458.64,1469.44,1292.8,1419.77,4109392.696,1614470400000
2021-03-01,1419.96,1573.42,1411.1,1571.2,2727916.51,1614556800000
2021-03-02,1571.2,1604.85,1455.3,1486.28,2884922.074,1614643200000
2021-03-03,1486.24,1664.0,1475.0,1568.63,3055043.878,1614729600000
2021-03-04,1568.63,1626.0,1506.99,1540.69,3087612.251,1614816000000
2021-03-05,1540.7,1551.0,1441.57,1529.88,3051666.755,1614902400000
2021-03-06,1529.75,1674.02,1515.16,1651.73,2839191.599,1614988800000
2021-03-07,1651.9,1736.89,1631.59,1727.23,2570034.976,1615075200000
2021-03-08,1727.73,1844.57,1667.86,1834.3,3501989.878,1615161600000
2021-03-09,1834.47,1873.86,1801.0,1873.31,2460568.209,1615248000000
2021-03-10,1873.37,1882.59,1760.0,1796.8,3413199.591,1615334400000
